Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 11:44:40

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 0
   Valvula_B: 2
   Valvula_C: 0

PARAMETROS_DO_CONTROLADOR:
   KP=2
   KI=0.4

Controlo: Nivel1

       Tabela de Dados



  Tempo  SetPoint  Nivel1   Caudal 
   317,5  4999,85  4763,94  3439,44
     318  4999,85  4768,82  3501,69
   318,5  4999,85  4773,09  3557,85
     319  4999,85  4772,48   3596,3
   319,5  4999,85  4795,68  3629,87
     320  4999,85  4796,29  3675,04
   320,5  4999,85  4812,16  3706,78
     321  4999,85  4815,82  3714,71
   321,5  4999,85  4830,47  3731,19
     322  4999,85  4831,69     3755
   322,5  4999,85  4839,62  3787,96
     323  4999,85  4855,49  3803,83
   323,5  4999,85  4864,04  3834,96
     324  4999,85  4870,75  3858,76
   324,5  4999,85  4882,96   3878,9
     325  4999,85  4894,56  3888,06
   325,5  4999,85  4912,26  3909,42
     326  4999,85  4926,91  3919,19
   326,5  4999,85  4934,23  3930,78
     327  4999,85  4948,88  3916,75
   327,5  4999,85  4954,99  3906,98
     328  4999,85   4961,7  3892,33
   328,5  4999,85  4972,08  3877,07
     329  4999,85  4989,78  3871,58
   329,5  4999,85  4999,54  3868,53
     330  4999,85  5009,92   3878,9
   330,5  4999,85  5019,07  3860,59
     331  4999,85  5028,23  3836,79
   331,5  4999,85  5035,55  3816,03
     332  4999,85  5045,93   3790,4
   332,5  4999,85  5056,31  3773,92
     333  4999,85  5057,53  3763,54
   333,5  4999,85  5076,45  3736,69
     334  4999,85  5081,94  3695,79
   334,5  4999,85  5083,77  3659,78
     335  4999,85  5086,83   3631,7
   335,5  4999,85  5101,47  3593,86
